sku,asin,product_description,price
LG PC PN DE 4 14P GH VS1VS2 16 S-BB1,B0H2JBRDXY,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 4 Carat",1985.12
LG PC PN 4 14K GH VS1VS2 16 S,B0CJJXPDGB,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 4 Carat",1962.21
LG PC PN DE 4 14D GH VS1VS2 16 S,B0H2J3H2YW,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 4 Carat",1865.28
LG PC PN DE 4 PLT GH VS1VS2 16 S,B0H2J575FR,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 4 Carat",2192.0
LG PC PN DE 5 14P GH VS1VS2 16 S,B0H2JZ4SRF,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 5 Carat",2256.08
LG PC PN DE 5 14K GH VS1VS2 16 S,B0H2J8HG2C,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 5 Carat",2233.17
LG PC PN DE 5 14D GH VS1VS2 16 S,B0H2J9QGNZ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 5 Carat",2233.17
LG PC PN DE 5 PLT GH VS1VS2 16 S,B0H2J4W9HH,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 5 Carat",2576.87
LG PC PN DE 5 14P GH VS1VS2 16 S 6Ct,B0H2J5DYXJ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 6 Carat",2974.32
LG PC PN DE 5 14K GH VS1VS2 16 S 6Ct,B0H2J5ZTHS,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 6 Carat",2974.32
